Time,Application
11:51:11,VS Code
11:51:16,VS Code
11:51:21,VS Code
11:51:26,WhatsApp
11:51:31,VS Code
11:54:08,VS Code
11:54:13,Program Manager
11:54:18,Desktop
11:54:23,WhatsApp
11:54:28,Chrome
11:54:33,New Tab
11:54:38,ChatGPT
11:54:43,New Tab
11:54:48,YouTube
11:54:53,YouTube
11:54:58,YouTube
11:55:03,Program Manager
11:55:08,Hill Climb Racing
11:55:13,Hill Climb Racing
11:55:18,Desktop
11:55:23,Program Manager
11:55:28,Navaneeth_Resume_Latest.pdf
11:55:33,Program Manager
11:55:38,Program Manager
11:55:43,VS Code
12:48:58,VS Code
12:49:03,Program Manager
12:49:08,WhatsApp
12:49:13,WhatsApp
12:49:18,Program Manager
12:49:23,Desktop
12:49:28,Untitled
12:49:33,Desktop
12:49:38,Untitled
12:49:44,AsHDRControl
12:49:49,Hill Climb Racing
12:49:54,Hill Climb Racing
12:49:59,Hill Climb Racing
12:50:04,Desktop
12:50:09,Chrome
12:50:14,YouTube
12:50:19,YouTube
12:50:24,New Tab
12:50:29,JioHotstar
12:50:34,JioHotstar
12:50:39,Search
12:50:44,Excel
12:50:49,Program Manager
12:50:54,activity_log.csv
12:50:59,Desktop
12:51:04,Word
12:51:09,AsHDRControl
12:51:14,Task View
12:51:19,VS Code
12:51:24,VS Code
14:17:16,VS Code
14:17:21,VS Code
14:17:26,Desktop
14:17:31,Untitled
14:17:36,Desktop
14:17:41,Untitled
14:17:46,Chrome
14:17:51,YouTube
14:17:57,YouTube
14:18:02,BTS of #PavazhaMalli ❤️🎶 #SaiAbhyankkar #KayaduLohar #ThinkIndie
14:18:07,BTS of #PavazhaMalli ❤️🎶 #SaiAbhyankkar #KayaduLohar #ThinkIndie
14:18:12,BTS of #PavazhaMalli ❤️🎶 #SaiAbhyankkar #KayaduLohar #ThinkIndie
14:18:17,YouTube
14:18:22,Full Lays Chicken #shorts #lays #chicken
14:18:27,Full Lays Chicken #shorts #lays #chicken
14:18:32,Program Manager
14:18:37,Hill Climb Racing
14:18:42,Hill Climb Racing
14:18:47,Hill Climb Racing
14:18:52,Desktop
14:18:57,Excel
14:19:02,Book1
14:19:07,Search
14:19:12,Word
14:19:17,Program Manager
14:19:22,Desktop
14:19:27,MySQL Workbench
14:19:32,MySQL Workbench
14:19:37,Document1
14:19:42,VS Code
14:19:47,VS Code
14:19:52,Task View
14:19:57,Task View
14:20:02,VS Code
14:20:07,Task View
14:20:12,VS Code
